Pond,Date,Time,Temp_degC,DO_mg.L,Depth_m,SPC_uS.cm,pH,Redox_mV,DO_perc,Sal_ppt,,
Gursky,1993-09-15,17:43:00,10.49,10.01,0.8,0.79,8.79,276,94.6,0.4,,
Gursky,1993-09-15,17:43:00,10.47,9.89,1.3,0.79,8.79,276,93.4,0.4,,
Gursky,1993-09-15,17:44:00,10.42,9.51,1.8,0.79,8.78,278,89.8,0.4,,
Gursky,1993-09-15,17:45:00,10.42,9.43,2.3,0.79,8.78,278,89,0.4,,
1,1993-10-14,14:55:00,5.78,106.8,0.1,2.45,8.84,317,106.8,1.3,,
1,1993-10-14,14:57:00,5.83,104.4,0.6,2.35,8.87,314,104.4,1.3,,
1,1993-10-14,14:57:00,5.87,103.8,0.8,2.45,8.87,313,103.8,1.3,,
20,1993-10-14,11:16:00,4.56,99,0.1,1.65,8.42,328,99,0.9,,
20,1993-10-14,11:17:00,4.56,96.5,0.5,1.66,8.43,325,96.5,0.9,,
20,1993-10-14,11:18:00,4.56,98.6,0.8,1.65,8.44,323,98.6,0.9,,
25,1993-10-14,13:45:00,5.07,101.5,0.1,1.79,8.4,266,101.5,1,,
25,1993-10-14,13:46:00,5.01,100.2,0.3,1.82,8.39,266,100.2,1,,
65,1993-10-14,12:02:00,4.94,96.9,0.1,4.04,8.29,336,96.9,2.2,,
65,1993-10-14,12:02:00,4.81,94.9,0.6,4.06,8.27,336,94.9,2.2,,
65,1993-10-14,12:21:00,4.74,94.5,0.7,4.09,8.27,337,94.5,2.2,,
66,1993-10-14,12:05:00,4.76,97.1,0.2,35.1,8.7,349,97.1,22.1,,
67,1993-10-14,13:51:00,6.34,84.5,0,7.38,5.04,288,84.5,4.1,,
67,1993-10-14,13:52:00,6.03,81.4,0.2,7.53,5.01,282,81.4,4.2,,
86,1993-10-14,15:26:00,5.35,55.3,0.2,0.56,7.09,358,55.3,0.3,,
90,1993-10-14,16:03:00,7.59,78.8,0.1,11.38,6,218,78.8,6.5,,
4857,1993-10-14,10:42:00,4.23,90.2,0,0.97,8.16,339,90.2,0.5,,
4857,1993-10-14,10:44:00,4.26,85.1,0.2,0.98,8.18,335,85.1,0.5,,
4857,1993-10-14,10:45:00,4.23,84.1,0.5,0.97,8.2,330,84.1,0.5,,
Gursky,1993-10-14,4:39:00,5.72,11.42,1,0.87,5.12,299,96.2,0.5,,
Gursky,1993-10-14,4:43:00,5.65,11.28,0.6,0.87,5.13,300,94.9,0.5,,
Gursky,1993-10-14,4:46:00,5.62,11.05,1.1,0.87,5.12,302,92.9,0.5,,
Gursky,1993-10-14,4:48:00,5.6,10.99,1.6,0.87,5.12,304,92.3,0.5,,
Gursky,1993-10-14,4:49:00,5.6,10.97,2,0.87,5.11,304,92.2,0.5,,
Gursky,1993-10-14,4:05:00,5.6,10.78,2.5,0.87,5.09,305,90.6,0.5,,
25,1994-05-10,13:16:24,12.86,8.22,-0.2,0.993,8.01,339,79.2,0.5,,
25,1994-05-10,13:17:23,12.83,7.75,0.2,1.002,8.02,322,74.6,0.5,,
25,1994-05-10,13:17:47,12.78,7.64,0.6,0.997,8.02,314,73.4,0.5,,
1A,1994-05-10,14:02:10,14.77,7.5,-0.2,1.63,8.01,328,75.6,0.9,,
1A,1994-05-10,14:02:37,14.49,7.17,0.2,1.65,7.97,328,71.7,0.9,,
1A,1994-05-10,14:02:53,14.2,6.87,0.7,1.67,7.95,328,68.4,0.9,,
1B,1994-05-10,14:22:35,14.28,8.11,-0.2,1.656,7.99,346,80.8,0.9,,
1B,1994-05-10,14:23:59,14.21,7.58,-0.2,1.64,8.06,329,75.4,0.9,,
1B,1994-05-10,14:24:42,14.24,7.33,0.3,1.68,8.03,329,73,0.9,,
1B,1994-05-10,14:24:55,14.24,7.3,0.6,1.69,8.03,329,72.7,0.9,,
37,1994-05-11,10:39:49,15.72,7.61,0,0.374,8.05,328,77.9,0.2,,
37,1994-05-11,10:41:01,12.27,2.2,0.3,0.395,7.63,340,20.8,0.2,,
50,1994-05-11,10:07:36,13.5,4.2,0,2.87,7.92,335,41.3,1.5,,
60,1994-05-11,16:13:22,19.83,9.22,-0.2,0.345,7.94,320,102.7,0.2,,
60,1994-05-11,16:15:19,16.46,3.91,0.1,0.362,7.44,203,40.6,0.2,,
65,1994-05-11,15:43:26,15.76,9.91,-0.2,2.71,8.61,327,102.3,1.5,,
65,1994-05-11,15:44:31,14.82,9.15,0.6,2.7,8.56,236,92.6,1.5,,
66,1994-05-11,15:38:45,17.33,8.84,-0.1,26.1,8.85,338,103.4,15.9,,
66,1994-05-11,15:39:23,17.35,8.84,-0.1,25.8,8.87,334,103.2,15.7,,
67,1994-05-11,14:47:12,15.69,10.64,-0.2,3.25,8.6,317,109.9,1.8,,
67,1994-05-11,14:50:23,15.22,7.63,0.3,3.53,8.5,233,78.2,1.9,,
86,1994-05-11,12:42:36,18.1,6.06,0,0.327,4.42,304,65.1,0.2,,
86,1994-05-11,12:43:46,11.16,1.27,0.3,0.361,4.4,217,11.7,0.2,,
90,1994-05-11,13:06:49,16.07,6.6,0,9.66,4.47,297,70.4,5.5,,
109,1994-05-11,12:14:22,17.2,4.85,-0.1,0.329,7.6,334,51.2,0.2,,
109,1994-05-11,12:15:50,13.67,2.36,0.3,0.344,7.49,339,23.1,0.2,,
4857,1994-05-11,12:32:35,13.53,9.7,-0.2,0.76,8.59,372,94.7,0.4,,
4857,1994-05-11,12:33:15,13.53,9.57,0.3,0.762,8.59,366,93.5,0.4,,
4857,1994-05-11,12:33:49,13.53,9.52,0.4,0.764,8.59,362,93,0.4,,
4857,1994-05-11,13:15:52,12.86,11.43,-0.2,0.991,8,348,110.1,0.5,,
Gursky,1994-05-11,14:04:10,14.31,10.92,0,0.845,3.78,297,108.6,0.4,,
Gursky,1994-05-11,14:05:03,13.85,10.63,0.5,0.847,3.78,297,104.6,0.4,,
Gursky,1994-05-11,14:05:55,13.72,10.1,0.7,0.859,3.79,298,99.1,0.4,,
25,1994-05-24,15:26:15,17.42,8.67,-0.1,1.075,7.51,364,94.7,0.6,,
25,1994-05-24,15:27:10,16.34,6.1,0.7,1.092,7.34,257,65.2,0.6,,
37,1994-05-24,16:21:43,21.24,7.52,0,0.384,7.56,315,88.5,0.2,,
37,1994-05-24,16:24:22,14.77,1.6,0.3,0.41,6.88,286,16.5,0.2,,
37,1994-05-24,16:25:05,16.54,2.36,0.3,0.386,6.89,269,25.2,0.2,,
50,1994-05-24,15:54:15,20.89,6.4,0,3.29,7.52,279,75.6,1.8,,
1A,1994-05-24,14:40:01,16.88,8.36,-0.1,1.67,7.53,399,90.5,0.9,,
1A,1994-05-24,14:40:49,16.61,7.85,0.6,1.63,7.51,395,84.5,0.9,,
1B,1994-05-24,15:01:00,15.87,7.31,0,1.81,7.42,392,77.5,1,,
1B,1994-05-24,15:01:53,15.79,6.98,0.8,1.83,7.38,385,73.9,1,,
65,1994-05-25,9:05:46,15.51,6.92,0.1,2.7,7.78,363,73.1,1.5,,
65,1994-05-25,9:06:45,14.82,3.26,0.8,2.66,7.67,345,33.9,1.4,,
66,1994-05-25,9:12:35,15.38,4.86,0.3,22.6,8.1,140,55.2,13.6,,
66,1994-05-25,9:38:17,17.06,6.72,0.1,3.31,8.11,263,73.5,1.8,,
66,1994-05-25,9:39:10,15.41,3.68,0.5,3.29,7.97,242,38.9,1.8,,
80,1994-05-25,16:45:06,20.02,7.13,0,0.328,7.11,311,81.9,0.2,,
86,1994-05-25,10:25:32,14.89,7.77,0.1,0.336,7.68,220,80.2,0.2,,
86,1994-05-25,10:26:34,9.63,1.29,0.6,0.377,6.99,230,11.8,0.2,,
90,1994-05-25,10:48:29,16.21,5.12,0.1,9.17,7.68,246,56.3,5.2,,
109,1994-05-25,10:06:04,14.53,5.05,0.1,0.321,6.86,314,51.8,0.2,,
109,1994-05-25,10:06:46,12.33,1.84,0.5,0.361,6.48,273,18,0.2,,
4857,1994-05-25,14:11:37,17.67,11.41,-0.1,0.768,8.16,393,125.1,0.4,,
4857,1994-05-25,14:12:42,17.69,10.74,0.5,0.77,8.14,340,117.8,0.4,,
6642,1994-05-25,11:11:12,17.22,3.69,0.1,1.035,7.41,288,40.2,0.5,,
6642,1994-05-25,11:11:46,14.66,2.44,0.6,1.043,7.28,261,25.1,0.5,,
Gursky,1994-05-25,11:38:13,16.34,9.91,0,0.807,8.24,291,105.7,0.4,,
Gursky,1994-05-25,11:38:54,14.58,9.68,0.8,0.817,8.25,291,99.4,0.4,,
25,1994-06-07,16:25:37,18.47,6.06,0,1.175,7.94,197,68.4,0.6,,
25,1994-06-07,16:26:09,17.88,4.55,0.7,1.181,7.87,181,50.8,0.6,,
50,1994-06-07,16:53:27,18.78,9.66,0,3.49,8.24,324,110.6,1.9,,
50,1994-06-07,16:53:55,18.78,9.03,0.1,3.49,8.23,312,103.5,1.9,,
4857,1994-06-07,15:07:05,17.89,11.47,0.6,0.683,8.82,302,127.7,0.4,,
1A,1994-06-07,15:34:57,18.54,9.02,0.7,1.48,8.19,362,102,0.8,,
1B,1994-06-07,15:58:19,18.59,8.76,0.6,1.46,8.2,303,99.2,0.8,,
1B,1994-06-07,15:59:01,18.41,8.62,0.9,1.63,8.2,310,97.3,0.9,,
37,1994-06-08,10:37:53,15.21,1.1,0,0.366,7.49,305,11.6,0.2,,
37,1994-06-08,10:38:36,15.24,0.79,0.4,0.375,7.47,296,8.3,0.2,,
60,1994-06-08,11:23:17,15.27,1.38,0,0.31,7.31,268,14.5,0.2,,
60,1994-06-08,11:24:15,15.12,0.83,0.3,0.313,7.18,253,8.7,0.2,,
65,1994-06-08,12:05:43,15.15,5.81,0,2.39,8.33,251,61.4,1.3,,
65,1994-06-08,12:06:25,15.17,4.02,0.6,2.22,8.28,156,42.5,1.2,,
66,1994-06-08,12:15:30,13.37,8.93,0,19.4,8.72,166,97,11.5,,
66,1994-06-08,12:15:53,13.37,8.65,0.1,19,8.73,156,93.8,11.2,,
67,1994-06-08,13:04:34,15.39,7.84,0.1,3.05,8.58,229,83.5,1.6,,
67,1994-06-08,13:05:39,15.05,3.81,0.6,3.08,8.49,140,40.4,1.7,,
86,1994-06-08,13:33:34,14.77,6.16,0,0.32,7.86,290,64.1,0.2,,
86,1994-06-08,13:34:04,14.13,2.21,0.6,0.327,7.66,271,22.7,0.2,,
90,1994-06-08,13:55:40,14.9,7.98,0,7.68,8.39,262,85.6,4.3,,
6642,1994-06-08,14:23:19,14.72,4.51,0,0.891,8.03,227,47,0.5,,
6642,1994-06-08,14:23:37,14.7,4.44,0.6,0.885,8.02,225,46.3,0.5,,
109,1994-06-09,12:18:54,15.41,10.66,0,0.005,6.48,374,112.4,0,,
109,1994-06-09,12:19:38,15.36,1.32,0.4,0.326,7.39,325,13.9,0.2,,
25,1994-06-21,15:40:11,23.75,13,-0.1,1.55,8.52,262,161.2,0.8,,
25,1994-06-21,15:41:15,20.92,6.76,0.7,1.62,7.89,137,79.5,0.9,,
25,1994-06-21,15:42:07,21.8,7.64,0.3,1.533,7.96,116,91.3,0.8,,
50,1994-06-21,16:15:50,26.79,11.99,-0.1,4.43,8.49,274,158.8,2.4,,
50,1994-06-21,16:16:45,24.21,8.31,0.1,4.51,8.22,162,105.1,2.5,,
4857,1994-06-21,14:27:35,21.57,13.53,-0.1,0.791,8.97,219,160.4,0.4,,
4857,1994-06-21,14:28:50,20.19,10.26,0.5,0.834,8.76,174,118.4,0.4,,
1A,1994-06-21,15:09:57,21.27,9.97,-0.1,1.86,8.16,286,118.1,1,,
1A,1994-06-21,15:10:37,20.26,9.94,0.8,1.88,8.15,288,115.3,1,,
1A,1994-06-21,15:11:12,20.35,10.02,0.4,1.88,8.16,289,116.5,1,,
1B,1994-06-21,14:48:48,20.23,9.88,-0.1,1.89,8.12,277,114.6,1,,
1B,1994-06-21,14:49:59,20,9.42,0.8,1.89,8.11,253,108.7,1,,
1B,1994-06-21,14:50:44,20.14,9.5,0.4,1.9,8.13,247,110,1,,
1B,1994-06-21,14:51:24,20.71,9.34,-0.1,1.86,8.12,247,109.4,1,,
Gursky,1994-06-21,13:47:23,19.04,7.69,-0.1,0.84,8.45,300,86.8,0.4,,
Gursky,1994-06-21,13:48:19,17.96,6.83,0.7,0.855,8.47,298,75.4,0.4,,
37,1994-06-22,14:29:36,26.04,6.38,-0.1,0.464,7.75,268,82.1,0.2,,
37,1994-06-22,14:31:09,20.54,1.67,0.2,0.495,7.27,278,19.4,0.3,,
60,1994-06-22,14:53:15,26.47,5.75,-0.1,0.373,7.23,288,74.6,0.2,,
60,1994-06-22,14:54:54,21.41,2.45,0.1,0.397,6.97,259,28.9,0.2,,
65,1994-06-22,13:55:05,24.59,10.25,-0.1,2.9,8.42,245,129.8,1.6,,
65,1994-06-22,13:56:40,20.84,5.08,0.6,2.91,8.17,117,59.9,1.6,,
65,1994-06-22,13:57:44,21.71,6.78,0.3,2.82,8.24,127,81.2,1.5,,
66,1994-06-22,13:44:41,24.66,10.32,-0.1,22.6,8.63,250,140.9,13.6,,
66,1994-06-22,13:45:39,24.76,10.36,0.1,22.6,8.65,224,141.6,13.6,,
67,1994-06-22,13:14:12,23.57,8.78,-0.1,3.71,8.4,220,109.3,2,,
67,1994-06-22,13:16:47,19.95,3.58,0.4,3.88,8.27,124,41.5,2.1,,
86,1994-06-22,12:06:10,20.87,7.78,-0.1,0.417,7.66,213,90.9,0.2,,
86,1994-06-22,12:09:00,14.89,2.25,0.4,0.451,7.05,174,23.3,0.2,,
90,1994-06-22,11:41:57,24.55,7.97,-0.1,9.99,8.23,296,103.5,5.7,,
90,1994-06-22,11:42:47,21.57,6.02,0,10.33,8.2,255,73.9,5.9,,
109,1994-06-22,12:46:04,23.86,2.98,-0.1,0.389,7.06,283,36.8,0.2,,
109,1994-06-22,12:47:29,18.49,1.06,0.3,0.419,6.81,259,11.8,0.2,,
6642,1994-06-22,11:10:23,20.36,1.73,-0.1,1.109,7.49,188,20,0.6,,
6642,1994-06-22,11:11:22,19.4,1.2,0.4,1.121,7.48,151,13.6,0.6,,
25,1994-07-05,16:13:32,18.54,5.08,-0.1,1.63,7.84,274,56.9,0.9,,
25,1994-07-05,16:13:54,18.54,4.99,0.3,1.63,7.85,266,55.9,0.9,,
25,1994-07-05,16:14:25,18.44,4.44,0.7,1.63,7.83,262,49.7,0.9,,
50,1994-07-05,16:39:25,19.78,8.55,-0.1,5.14,8.32,146,99.5,2.8,,
50,1994-07-05,16:40:07,19.76,8.22,0.1,5.17,8.32,133,95.6,2.8,,
4857,1994-07-05,14:46:25,18.39,12.08,-0.1,0.788,9.14,392,134.5,0.4,,
4857,1994-07-05,14:47:11,17.94,10.23,0.1,0.795,9.03,317,112.8,0.4,,
4857,1994-07-05,14:48:09,17.72,9.1,0.4,0.799,8.98,263,99.9,0.4,,
1A,1994-07-05,15:23:24,18.68,8.81,-0.1,1.9,8.11,337,99,1,,
1A,1994-07-05,15:24:03,18.64,8.54,0.2,1.9,8.11,337,95.9,1,,
1A,1994-07-05,15:24:39,18.2,8.3,0.8,1.92,8.09,336,92.5,1,,
1B,1994-07-05,15:45:03,18.88,10.96,-0.1,1.89,8.36,338,123.8,1,,
1B,1994-07-05,15:45:37,18.83,10.78,0.3,1.88,8.37,332,121.6,1,,
1B,1994-07-05,15:46:21,18.76,10.55,0.7,1.89,8.38,323,118.8,1,,
37,1994-07-06,13:27:57,19.24,6.75,0,0.492,7.65,302,76.4,0.2,,
37,1994-07-06,13:29:23,18.25,3.71,0.1,0.495,7.39,282,41.2,0.3,,
37,1994-07-06,13:30:41,17.66,3.16,0.3,0.5,7.28,272,34.6,0.3,,
60,1994-07-06,13:04:33,17.98,5.5,0,0.391,7.32,263,60.6,0.2,,
60,1994-07-06,13:05:42,17.69,2.82,0.1,0.379,7.19,260,31,0.2,,
65,1994-07-06,12:28:25,18.03,6.25,0,3.03,8.25,208,69.6,1.6,,
65,1994-07-06,12:29:44,17.88,5.65,0.3,3.03,8.22,185,62.7,1.6,,
65,1994-07-06,12:30:30,17.79,4.73,0.7,3.07,8.2,173,52.5,1.7,,
66,1994-07-06,12:18:36,17.59,9.54,0,24.3,9.14,242,114.3,14.7,,
66,1994-07-06,12:19:57,17.59,9.49,0.2,24.6,9.22,216,113.9,14.9,,
67,1994-07-06,11:42:37,17.64,7.24,0,3.97,8.37,181,80.3,2.2,,
67,1994-07-06,11:43:52,17.57,6.72,0.4,3.95,8.37,133,74.5,2.2,,
67,1994-07-06,11:45:06,17.42,4.53,0.7,4.07,8.32,92,50,2.2,,
86,1994-07-06,11:13:12,16.93,7.24,0,0.454,7.72,213,78.1,0.2,,
86,1994-07-06,11:14:20,15.99,1.57,0.3,0.461,7.16,165,16.6,0.2,,
86,1994-07-06,11:14:49,15.64,1.32,0.5,0.46,7.05,159,13.8,0.2,,
90,1994-07-06,10:46:59,16.98,7.26,0,11.04,8.39,270,81.6,6.3,,
90,1994-07-06,10:48:17,16.85,6.16,0.1,11.04,8.38,248,69.1,6.3,,
109,1994-07-06,9:55:22,16.49,1.41,0,0.406,7.12,317,15.1,0.2,,
109,1994-07-06,9:56:05,16.44,1.12,0.3,0.405,7.08,315,11.9,0.2,,
6642,1994-07-06,10:21:50,16.53,0.61,0,1.162,7.73,179,6.5,0.6,,
6642,1994-07-06,10:22:35,16.53,0.44,0.3,1.171,7.73,155,4.7,0.6,,
6642,1994-07-06,10:23:14,16.48,0.34,0.5,1.165,7.73,142,3.7,0.6,,
Gursky,1994-07-06,9:24:08,18.01,5.74,0,0.878,8.31,363,63.5,0.5,,
Gursky,1994-07-06,9:25:16,18.03,5.65,0.5,0.87,8.34,349,62.4,0.5,,
Gursky,1994-07-06,9:25:47,18.01,5.53,12.2,0.4,0.862,0.9,,61.1,,
25,1994-07-19,15:12:30,19.47,3.14,-0.1,1.69,7.87,218,35.8,0.9,,
25,1994-07-19,15:13:10,19.45,2.64,0.3,1.7,7.8,114,30.2,0.9,,
25,1994-07-19,15:13:53,19.48,2.95,0.1,1.72,7.87,115,33.7,0.9,,
37,1994-07-19,15:43:31,20.61,5.58,-0.1,0.487,7.56,286,64.9,0.2,,
37,1994-07-19,15:44:39,20.28,4.83,0.1,0.485,7.51,275,55.8,0.2,,
50,1994-07-19,16:08:04,21.64,9.52,-0.1,4.85,8.39,161,114.7,2.7,,
50,1994-07-19,16:08:52,21.41,8.96,-0.1,4.85,8.35,163,107.5,2.7,,
60,1994-07-19,16:27:57,21.1,6.18,-0.2,0.348,7.23,208,72.5,0.2,,
60,1994-07-19,16:28:45,21.01,5.51,0,0.346,7.17,208,64.5,0.2,,
4857,1994-07-19,13:58:23,18.81,9.73,-0.1,0.77,9.62,266,109.2,0.4,,
4857,1994-07-19,14:00:31,18.83,10.1,0.2,0.765,9.65,227,113.4,0.4,,
1A,1994-07-19,14:21:35,20.61,7.81,-0.1,1.92,8.5,275,91.3,1,,
1A,1994-07-19,14:22:08,20.61,7.67,-0.2,1.91,8.5,272,89.7,1,,
1A,1994-07-19,14:23:41,20.43,7.08,0.4,1.89,8.46,249,82.5,1,,
1A,1994-07-19,14:24:35,20.54,6.75,0.1,1.91,8.47,250,78.7,1,,
1B,1994-07-19,14:43:01,20.05,7.32,-0.1,1.91,8.5,255,84.6,1,,
1B,1994-07-19,14:44:30,20.05,7.5,-0.1,1.87,8.51,239,86.7,1,,
1B,1994-07-19,14:45:36,19.93,7.14,0.6,1.88,8.53,239,82.3,1,,
1B,1994-07-19,14:46:28,19.95,7.11,0.2,1.88,8.53,233,82,1,,
65,1994-07-20,10:03:00,19.16,5.43,0,2.98,8.34,178,61.9,1.6,,
65,1994-07-20,10:04:16,18.74,3.24,0.6,3.01,8.19,82,36.6,1.6,,
65,1994-07-20,10:04:51,18.88,3.66,0.3,2.98,8.22,78,41.5,1.6,,
66,1994-07-20,9:50:37,17.67,8.25,0,24.9,9.98,233,99.3,15.1,,
66,1994-07-20,9:53:57,17.72,8.18,0.1,24.5,9.97,194,98.4,14.8,,
67,1994-07-20,9:24:36,19.05,2.13,0,4.15,8.2,246,24.4,2.3,,
67,1994-07-20,9:25:14,18.85,1.18,0.3,4.12,8.22,173,13.4,2.2,,
86,1994-07-20,11:18:32,18.18,3.11,0,0.45,7.44,166,34.4,0.2,,
86,1994-07-20,11:19:52,16.91,1.13,0.6,0.48,7.19,146,12.2,0.2,,
86,1994-07-20,11:21:09,17.82,2.04,0.2,0.459,7.24,142,22.4,0.2,,
90,1994-07-20,10:53:46,19.31,6.47,0,11.23,8.49,242,76.3,6.4,,
90,1994-07-20,10:55:38,19.28,5.97,0,11.2,8.48,184,70.3,6.4,,
109,1994-07-20,11:44:07,19.29,2.1,0,0.402,7.07,211,23.8,0.2,,
109,1994-07-20,11:45:16,18.92,2.22,0.1,0.398,7.03,212,25,0.2,,
6642,1994-07-20,10:32:17,18.4,1.85,0,1.19,7.87,166,20.7,0.6,,
6642,1994-07-20,10:33:14,18.28,1.67,0.4,1.184,7.89,146,18.6,0.6,,
Gursky,1994-07-20,12:15:09,21.22,3.4,0,0.888,8.12,250,40.1,0.5,,
Gursky,1994-07-20,12:15:50,20.33,2.73,0.7,0.9,8.14,232,31.6,0.5,,
Gursky,1994-07-20,12:16:49,20.33,2.71,0.3,0.895,8.16,217,31.4,0.5,,
25,1994-08-09,13:45:26,17.71,4.92,0.2,1.77,7.49,239,54.5,0.9,,
25,1994-08-09,13:46:15,17.25,3.52,0.8,1.8,7.43,169,38.5,1,,
25,1994-08-09,13:46:37,17.42,3.99,0.4,1.78,7.46,163,44,0.9,,
37,1994-08-09,14:34:11,18.59,8.79,0.2,0.499,7.11,262,98.6,0.3,,
37,1994-08-09,14:35:03,17.45,6.82,0.4,0.513,6.99,256,74.8,0.3,,
50,1994-08-09,14:12:21,19.48,7.24,0.2,5.82,7.56,265,84.3,3.2,,
50,1994-08-09,14:13:04,19.09,7.28,0.2,5.94,7.6,260,84.2,3.3,,
109,1994-08-09,14:59:30,19.28,4.23,0.2,0.402,6.91,274,48.1,0.2,,
109,1994-08-09,15:00:31,18.49,2.13,0.4,0.409,6.75,267,23.8,0.2,,
4857,1994-08-09,12:40:37,18.73,10.33,0.2,0.83,8.92,263,116.4,0.4,,
4857,1994-08-09,12:42:23,16.24,6.31,0.7,0.841,8.84,207,67.5,0.4,,
4857,1994-08-09,12:42:50,16.48,6.35,0.4,0.838,8.82,196,68.2,0.4,,
4857,1994-08-09,12:58:57,18.93,10.06,0.2,0.005,7.89,262,113.4,0,,
1A,1994-08-09,13:01:23,19.59,5.49,0.2,2,7.59,279,63.2,1.1,,
1A,1994-08-09,13:02:15,19.04,6.49,1.1,1.91,7.59,282,73.8,1,,
1A,1994-08-09,13:02:50,19.38,5.2,0.6,1.9,7.56,282,59.6,1,,
1B,1994-08-09,13:20:48,20.3,6.58,0.2,2.01,7.63,298,76.8,1.1,,
1B,1994-08-09,13:22:13,19.26,7.22,1,1.98,7.57,286,82.5,1.1,,
1B,1994-08-09,13:22:54,19.62,5.61,0.6,1.95,7.57,284,64.7,1,,
Gursky,1994-08-09,15:25:42,19.91,7.48,0.2,0.933,7.84,276,86.3,0.5,,
Gursky,1994-08-09,15:29:32,19.88,5.69,0.6,0.931,7.91,247,65.6,0.5,,
Gursky,1994-08-09,15:31:24,19.71,5.47,0.8,0.927,7.9,243,62.8,0.5,,
60,1994-08-10,11:44:44,19.64,4.97,0.2,0.381,6.96,214,56.9,0.2,,
60,1994-08-10,11:45:22,19.9,4.42,0.2,0.369,6.89,215,50.8,0.2,,
60,1994-08-10,11:45:30,19.91,4.39,0.2,0.367,6.88,216,50.6,0.2,,
65,1994-08-10,11:19:55,18.88,5.41,0.3,3.34,7.94,169,61.7,1.8,,
65,1994-08-10,11:21:19,17.79,2.49,0.8,3.31,7.74,118,27.7,1.8,,
65,1994-08-10,11:21:38,18.08,3.37,0.5,3.28,7.75,116,37.8,1.8,,
66,1994-08-10,11:11:40,18.71,8.74,0.3,28.4,9.82,182,109.4,17.4,,
66,1994-08-10,11:13:07,18.71,7.37,0.4,27.9,9.9,166,92.1,17.1,,
67,1994-08-10,10:49:16,18.52,2.96,0.3,4.54,7.75,160,33.7,2.5,,
67,1994-08-10,10:51:28,18.23,3.21,0.6,4.56,7.73,117,36.3,2.5,,
86,1994-08-10,10:26:14,15.56,3.23,0.3,0.484,7.21,130,34,0.2,,
86,1994-08-10,10:29:42,15.64,3.86,0.5,0.478,7.02,146,40.8,0.2,,
