"","Pond","Date","Region","Analyzing_date","250_nm","254_nm","280_nm","350_nm","365_nm","370_nm","Filter","Comments","pH","Fe_mg.L","SO4_mg.L","DOC_mg.L","SUVA","Bottle_PCO2","Wholewater_THg_ng.L","Wholewater_MeHg_ng.L","MeHg_std.err","MeHg_perc","CO2_umol.L","CH4_umol.L","DIC_mg.L","TDC_mg.L","Chla","Temp_degC","Cond_uS.cm","DO_perc","DO_mg.L","Secchi_cm","Depth_m","ORP","Airtemp_C","Cloud"
"335","2",2020-09-20,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","2",2020-10-04,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","2",2021-05-19,"SDNWA","2021-05-21",1.91258,1.78817,2.93556,0.43707,0.317107,0.283735,1.2,NA,8.23,NA,12017.485,137.61,NA,NA,NA,0.347,NA,NA,NA,NA,79.68,NA,45.0275358,16.4,3829,NA,NA,10,NA,106.6,10.5,2
"338","2",2021-06-06,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.67,NA,14333.645,168.8,NA,NA,NA,2.726,NA,NA,NA,NA,79.77,NA,97.4345364,22.6,13699,NA,NA,7.5,NA,104.7,15.7,50
"339","2",2022-05-10,"SDNWA","2022-05-11",0.806537,0.77258,0.561117,0.180345,0.141217,0.129107,1.2,NA,8.25,NA,1738.205,18.95,NA,NA,NA,NA,NA,NA,NA,NA,74.17,NA,19.3370738285714,10.5,2143,67.6,7.4,NA,NA,32.8,10.9,100
"340","2",2022-05-24,"SDNWA","2022-05-26",0.994307,0.95433,0.682286,0.203423,0.156215,0.142097,1.2,NA,8.41,NA,2201.045,26.27,NA,NA,NA,NA,NA,NA,NA,NA,81.96,NA,33.91361112,16.1,3183,75.5,7.4,21.5,NA,40.5,13.3,15
"341","2",2022-06-08,"SDNWA","2022-06-10",1.42685,1.36958,0.946085,0.257523,0.194754,0.176499,1.2,NA,8.54,NA,3229.595,43.16,NA,NA,NA,NA,NA,NA,NA,NA,92.74,NA,9.69783452,22,4702,136.5,11.4,7,NA,57,17.6,10
"342","2",2022-06-21,"SDNWA","2022-06-23",1.57449,1.51586,1.05607,0.300322,0.227909,0.20665,1.2,NA,8.55,NA,3035.99,42.05,NA,NA,NA,NA,NA,NA,NA,NA,76.71,NA,9.046771032,19.8,4253,88.2,7.92,13,NA,78.6,17.8,90
"343","2",2022-07-06,"SDNWA","2022-07-07; 2022-07-08",0.53370215,0.5121072,0.34748765,0.0950096,0.0720489,0.06541845,1.2,NA,8.48,NA,3785.71,60.89,NA,NA,NA,NA,NA,NA,NA,NA,105.57,NA,80.01920852,24.1,5766,175,14.44,9,NA,8.2,17.6,100
"344","2",2022-07-19,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","2",2022-08-03,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","2",2022-08-16,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","2",2022-08-29,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","2",2022-09-12,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","2",2023-05-17,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","2",2023-05-30,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","2",2023-06-13,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","2",2023-06-27,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","2",2023-07-11,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","2",2023-07-20,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","2",2023-08-15,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","2",2024-04-25,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,392.2,51.5,5.36,12,NA,160.4,14.1,25
"357","2",2024-04-26,"SDNWA","2024-04-25",0.526842,0.504781,0.339852,0.082917,0.0630618,0.571707,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","2",2024-05-09,"SDNWA","2024-05-10",0.9456,0.913697,0.681559,0.215184,0.16869,0.1543,1.2,NA,7.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,737,42.3,3.92,13,NA,-5.6,15.7,0
"359","2",2024-05-22,"SDNWA","2024-05-23",1.2113,1.17027,0.850532,0.24995,0.19378,0.176907,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","2",2024-05-23,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,1179,68.5,7.32,8.5,NA,-41.4,10.8,100
"361","25",2020-07-15,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,3633,106.8,9.03,36.5,NA,NA,NA,NA
"362","25",2020-07-29,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.05,NA,217.67,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,3633,106.8,9.03,30,NA,NA,NA,NA
"363","25",2020-08-12,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.92,NA,2408.58,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,3432,96.3,8.94,7,NA,NA,NA,NA
"364","25",2020-08-23,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69,NA,2692.39,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,3971,80.2,7.02,17,NA,NA,NA,NA
"365","25",2020-09-05,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83,NA,2767.61,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,3610,111.21,11.14,15,NA,NA,NA,NA
"366","25",2020-10-04,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78,NA,2837.43,76.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,3400,138.7,15.17,10,NA,NA,NA,NA
"367","25",2021-05-23,"SDNWA",NA,1.75096,1.63032,1.07861,0.225447,0.163307,0.149589,1.2,NA,8.42,NA,3186.945,79.72,NA,NA,NA,0.367,NA,NA,NA,NA,106.13,NA,35.9024966,21.8,4463,NA,NA,12,NA,96.3,18,NA
"368","25",2021-06-06,"SDNWA",NA,1.80528,2.15612,1.32275,0.295598,0.219239,0.197901,1.2,NA,9.25,NA,3697.83,88.71,NA,NA,NA,0.53,NA,NA,NA,NA,129.12,NA,5.8954845472,18.3,4875,NA,NA,11,NA,19.4,15.4,85
"369","25",2021-06-23,"SDNWA",NA,1.58639,1.65701,1.2075,0.3077,0.229113,0.208729,1.2,NA,9.36,NA,3590.51,66.26,NA,NA,NA,0.073458534,NA,NA,NA,NA,106.6,NA,20.922896,19.1,4434,NA,7.73,10,NA,NA,17.6,85
"370","25",2021-07-06,"SDNWA",NA,2.0635,2.33291,1.21608,0.249746,0.185231,0.167135,1.2,NA,8.02,NA,3974.325,99.89,NA,NA,NA,0.481652042,NA,NA,NA,NA,145.77,NA,164.716096666667,20.2,5102,64.1,5.75,9,NA,22.6,16.4,100
"371","25",2021-07-22,"SDNWA",NA,1.81779,1.60762,1.30135,0.273415,0.204387,0.187136,1.2,NA,8.45,NA,4203.8,103.42,NA,NA,NA,0.420321655,NA,NA,NA,NA,154.16,NA,259.89926,23.4,5838,92,7.68,9,NA,112.6,21.3,22
"372","25",2021-08-04,"SDNWA",NA,1.67338,3.4353,1.37003,0.267945,0.19798,0.177493,1.2,NA,8.68,NA,4315.685,80.85,NA,NA,NA,0.805,NA,NA,NA,NA,108.71,NA,307.983322222222,21.5,5616,94.5,8.36,5,NA,73.4,19.9,90
"373","25",2021-08-18,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94,NA,4693.865,110.2,NA,NA,NA,0.801933285,NA,NA,NA,NA,126.45,NA,268.4937625,17.5,5685,80.2,7.22,6,NA,33.6,15.1,80
"374","25",2021-09-01,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11,NA,3396.49,88.55,NA,NA,NA,0.068211424,NA,NA,NA,NA,117.37,NA,540.727866666667,18.8,4954,105.6,8.89,3.5,NA,-26.3,15.6,100
"375","25",2021-09-19,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.01,NA,4606.005,118.62,NA,NA,NA,0.717004405,NA,NA,NA,NA,146.04,NA,414.347288,15,5.45,117.5,11.63,NA,NA,16.9,13.8,40
"376","26",2006-07-22,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,NA,229.486,27.89,3.025959125,NA,3.38544505029019,0.1669154200597,NA,4.930383379,NA,NA,0.7225216,88.05,NA,22.67,979,NA,5.5,NA,NA,NA,NA,NA
"377","35",2021-05-23,"SDNWA",NA,2.67415,2.61771,1.67597,0.333408,0.241227,0.215339,1.2,NA,8.56,NA,6349.345,117.51,NA,NA,NA,0.085,NA,NA,NA,NA,170.78,NA,84.2866842,22.2,7960,NA,NA,1.5,NA,68.5,140,80
"378","35",2021-06-06,"SDNWA",NA,1.58487,1.81246,1.99313,0.381965,0.274508,0.24993,1.2,NA,9.29,NA,7353.34,137.39,NA,NA,NA,1.067,NA,NA,NA,NA,158.27,NA,248.35907162,20.8,8770,NA,NA,4.5,NA,58.6,15.7,60
"379","35",2021-06-23,"SDNWA",NA,2.46242,3.21148,2.24464,0.508406,0.366969,0.329689,1.2,NA,9.24,NA,8943.48,181.28,NA,NA,NA,2.350944216,NA,NA,NA,NA,198.46,NA,5.17946672,22.7,11010,96.8,8.06,8,NA,-107,18.4,90
"380","35",2021-07-06,"SDNWA","2021-07-07",2.14943,1.6938,2.64424,0.747963,0.548838,0.48863,1.2,NA,8.25,NA,12027.24,283.22,NA,NA,NA,0.342889452,NA,NA,NA,NA,245.01,NA,189.83837595,NA,11954,45.6,4.26,1.5,NA,10.3,15.4,100
"381","35",2021-07-22,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,20
"382","35",2021-08-04,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA
"383","35",2021-08-18,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,10
"384","35",2021-09-01,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"385","35",2021-09-19,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","35",2022-05-10,"SDNWA","2022-05-11",0.689434,0.661618,0.475352,0.136538,0.106369,0.0974231,1.2,NA,9.5,NA,1435.685,17.18,NA,NA,NA,NA,NA,NA,NA,NA,39.71,NA,3.55977292,12.6,1608,143.4,14.92,26,NA,6.5,9.8,97
"387","35",2022-05-24,"SDNWA","2022-05-26",0.797325,0.765921,0.534836,0.135635,0.103325,0.938389,1.2,NA,9.07,NA,1850.415,23.01,NA,NA,NA,NA,NA,NA,NA,NA,42.3,NA,5.88409584,20.6,2547,122.5,11.04,26,NA,25.9,17.1,45
"388","35",2022-06-08,"SDNWA","2022-06-10",1.2157,1.16805,0.774792,0.184051,0.138044,0.124772,1.2,NA,8.32,NA,2665.215,34.31,NA,NA,NA,NA,NA,NA,NA,NA,62.63,NA,3.21764228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","35",2022-06-09,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,4183,103.1,8.35,23,NA,24.5,17,75
"390","35",2022-06-21,"SDNWA","2022-06-23",0.692154,0.664657,0.438986,0.106211,0.0798751,0.0721393,1.2,NA,8.17,NA,2848.32,42.71,NA,NA,NA,NA,NA,NA,NA,NA,83.79,NA,5.99380948,24.3,4581,113.8,9.38,18,NA,91.2,20.5,5
"391","35",2022-07-06,"SDNWA","2022-07-08",0.814973,0.781652,0.503588,0.114052,0.0842792,0.0755653,1.2,NA,8.34,NA,3421.145,48.23,NA,NA,NA,NA,NA,NA,NA,NA,93.27,NA,9.76023884,24.2,5391,122.6,10.09,15,NA,57.9,24.3,60
"392","35",2022-07-19,"SDNWA","2022-07-21",2.03304,1.97015,1.28162,0.297188,0.220264,0.198106,1.2,NA,8.47,NA,3735.45,65.67,NA,NA,NA,NA,NA,NA,NA,NA,88.29,NA,29.3969662,33.7,7212,188.8,12.57,12,NA,35.5,30,5
"393","35",2022-08-03,"SDNWA","2022-08-04",2.08745,2.01657,1.29816,0.291529,0.215599,0.19381,1.2,NA,8.95,NA,4463.445,66.15,NA,NA,NA,NA,NA,NA,NA,NA,57.62,NA,16.18304888,25.5,6195,157.8,12.86,9,NA,36.4,17,2
"394","35",2022-08-16,"SDNWA","2022-08-17",2.52463,2.45947,1.62014,0.366546,0.273456,0.246909,1.2,NA,8.55,NA,5177.785,80.36,NA,NA,NA,NA,NA,NA,NA,NA,47.73,NA,78.7534552,25.1,6723,124.4,10.04,2,NA,11505,20.3,NA
"395","35",2023-05-17,"SDNWA","2023-05-18",1.26163,1.21285,0.86725,0.252387,0.193354,0.175283,1.2,NA,7.87,NA,NA,39.215,NA,NA,NA,NA,NA,NA,NA,NA,62.155,NA,3.66037916,14.5,2163,62,6.28,21,NA,43.2,11.5,100
"396","35",2023-05-30,"SDNWA","2023-06-01",1.3677,1.31569,0.922265,0.257412,0.191742,0.177235,1.2,NA,7.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72047512,21.3,2919,108,9.45,20,NA,29.9,23.4,0
"397","35",2023-06-13,"SDNWA","2023-06-15",1.59587,1.53627,1.05141,0.280587,0.217326,0.192325,1.2,NA,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0773928,24.9,3775,90.1,7.36,25.2,NA,34.5,25.2,0
"398","35",2023-06-27,"SDNWA","2023-06-29",1.49259,1.43864,0.968597,0.243965,0.185128,0.167575,1.2,NA,8.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.61265,23.1,3934,127.5,10.72,12,NA,1.9,22.6,0
"399","35",2023-07-11,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","35",2023-07-20,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","35",2023-08-15,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","35",2024-04-25,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,196.8,116.8,12.19,17,NA,150.2,17,10
"403","35",2024-04-26,"SDNWA","2024-04-25",0.73009,0.700098,0.540752,0.181184,0.143299,0.131538,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","35",2024-05-09,"SDNWA","2024-05-10",0.928208,0.889182,0.676573,0.219354,0.171742,0.157309,1.2,NA,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,540,80.65,7.65,17,NA,-15,16.5,0
"405","35",2024-05-22,"SDNWA","2024-05-23",1.04365,1.00218,0.750483,0.238575,0.18705,0.171428,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","35",2024-05-23,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,577,84.7,9.75,29.5,NA,29.5,9.7,99
"407","35",2024-06-05,"SDNWA","2024-06-06",1.14021,1.09535,0.813213,0.256887,0.202606,0.18626,1.2,NA,7.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,780,74.3,7.75,17,NA,60.8,12.2,100
"408","35",2024-06-19,"SDNWA","2024-06-20",0.920391,0.884599,0.646309,0.191688,0.147856,0.13485,1.2,NA,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,793,96.6,10.62,17,NA,63.7,112,15
"409","35",2024-07-03,"SDNWA","2024-07-04",0.856147,0.822326,0.599292,0.180662,0.139783,0.12797,1.2,NA,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,994,123.8,12.18,15,NA,-110.8,16.2,0
"410","37",2021-05-23,"SDNWA",NA,1.71529,1.65154,1.071,0.24109,0.178637,0.160572,1.2,NA,8.3,NA,2619.495,62.22,NA,NA,NA,0.608,NA,NA,NA,NA,87.41,NA,4.9764494,23.3,4025,NA,NA,8,NA,134.3,21.4,60
"411","37",2021-06-06,"SDNWA",NA,1.70341,1.56399,1.29469,0.295041,0.219922,0.19337,1.2,NA,9.72,NA,3161.545,69.4,NA,NA,NA,0.768,NA,NA,NA,NA,73.27,NA,10.83009368,22,4172,NA,NA,7.5,NA,107.4,19,80
"412","37",2021-06-23,"SDNWA",NA,1.85292,1.77768,1.79466,0.386054,0.2818,0.255745,1.2,NA,9.98,NA,4770.715,85.61,NA,NA,NA,0.963652237,NA,NA,NA,NA,56.92,NA,29.6222006666667,23.9,5682,NA,11.03,11,NA,NA,16.6,85
"413","37",2022-05-10,"SDNWA","2022-05-11",1.08467,1.03888,0.740172,0.22307,0.171973,0.15688,1.2,NA,8.95,NA,1753.345,27.18,NA,NA,NA,NA,NA,NA,NA,NA,40.76,NA,3.69799304,14.4,2204,143.2,14.4,17,NA,1.7,11.1,98
"414","37",2022-05-24,"SDNWA","2022-05-26",1.07939,1.03406,0.727965,0.206778,0.158976,0.144575,1.2,NA,8.44,NA,1762.065,27.07,NA,NA,NA,NA,NA,NA,NA,NA,47.84,NA,17.48822408,21,2651,98.5,9.87,28,NA,55,16.1,50
"415","37",2022-06-08,"SDNWA","2022-06-10",1.4588,1.3928,0.950702,0.2439,0.184029,0.166727,1.2,NA,8.5,NA,2596.73,41.44,NA,NA,NA,NA,NA,NA,NA,NA,72.52,NA,1.8484916,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","37",2022-06-09,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,3966,102.9,8.4,17,NA,-51.3,17.7,75
"417","37",2022-06-21,"SDNWA","2022-06-23",0.666867,0.639002,0.434005,0.109914,0.0831455,0.0753006,1.2,NA,8.22,NA,2029.645,35.87,NA,NA,NA,NA,NA,NA,NA,NA,49.41,NA,24.44596268,26.5,3846,137.2,11.18,17,NA,32.1,21.1,7
"418","37",2022-07-06,"SDNWA","2022-07-08",0.87289,0.835749,0.556839,0.139506,0.105955,0.0953911,1.2,NA,8.22,NA,2333.48,47.7,NA,NA,NA,NA,NA,NA,NA,NA,64.14,NA,68.6079268,25.2,4078,117.2,9.44,9,NA,56.9,22,50
"419","37",2022-07-19,"SDNWA","2022-07-21",2.02982,1.95236,1.29134,0.309887,0.231077,0.208235,1.2,NA,8.21,NA,2807.975,57.21,NA,NA,NA,NA,NA,NA,NA,NA,66.25,NA,NA,33.1,5125,140.3,9.83,17,NA,-10.5,25.7,15
"420","37",2022-08-03,"SDNWA","2022-08-04",1.03772,0.998991,0.696606,0.199989,0.154817,0.141529,1.2,NA,9.46,NA,1322.86,25.865,NA,NA,NA,NA,NA,NA,NA,NA,28.945,NA,40.29865824,29.2,2253,118.2,9,8,NA,19.6,19.6,NA
