DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-20,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,37,37,52.208759,-106.110278,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,60,60,52.203206,-106.102308,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-05-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-09,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-09,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-09,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-09,,,,,,,Depth of water column,,,0.256,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-09,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-09,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-10,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-10,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-10,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,0.283,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,0.922,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-23,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-06-30,,,,,,,Depth of water column,,,0.305,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,0.504,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,1.095,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,0.792,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,60,60,52.203206,-106.102308,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,1.19,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,0.41,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,0.45,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,0.634,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,0.788,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-08,,,,,,,Depth of water column,,,1.015,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-13,,,,,,,Depth of water column,,,0.507,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-13,,,,,,,Depth of water column,,,1.095,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-13,,,,,,,Depth of water column,,,0.805,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-13,,,,,,,Depth of water column,,,0.399,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-13,,,,,,,Depth of water column,,,0.804,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-21,,,,,,,Depth of water column,,,1.068,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-21,,,,,,,Depth of water column,,,0.778,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-21,,,,,,,Depth of water column,,,0.998,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-22,,,,,,,Depth of water column,,,0.467,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-22,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-22,,,,,,,Depth of water column,,,0.37,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-22,,,,,,,Depth of water column,,,0.478,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-22,,,,,,,Depth of water column,,,0.59,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-07-22,,,,,,,Depth of water column,,,0.762,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,0.522,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,1.333,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,0.84,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,0.423,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,0.426,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,0.63,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,0.865,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-04,,,,,,,Depth of water column,,,1.04,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,0.532,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,1.156,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,0.846,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,0.403,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,0.45,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,0.631,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,0.822,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-18,,,,,,,Depth of water column,,,1.031,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,0.564,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,1.187,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,0.866,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,0.42,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,0.428,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,0.652,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,0.957,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-08-27,,,,,,,Depth of water column,,,1.056,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,86,86,52.202298,-106.084132,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-14,,,,,,,Depth of water column,,,0.925,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-15,,,,,,,Depth of water column,,,0.54,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,25,25,52.21155,-106.10309,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-15,,,,,,,Depth of water column,,,1.16,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,4857,4857,52.202487,-106.111066,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-15,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,50,50,52.205531,-106.107131,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-15,,,,,,,Depth of water column,,,0.82,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,65,65,52.20543,-106.098645,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-15,,,,,,,Depth of water column,,,0.36,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,66,66,52.205977,-106.096295,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-15,,,,,,,Depth of water column,,,0.48,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,67,67,52.209201,-106.097397,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-15,,,,,,,Depth of water column,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,90,90,52.204775,-106.080284,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-09-15,,,,,,,Depth of water column,,,1,m,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area - Historical Water Quality Data,1,1,52.213065,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,1993-10-14,,,,,,,Depth of water column,,,0.59,m,Actual,,,,,,,,,,,,,,
